Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
gs-scheduling-tasks,com.example.schedulingtasks,ScheduledTasks,reportCurrentTime,3,1,0
gs-scheduling-tasks,com.example.schedulingtasks,SchedulingTasksApplication,main,3,1,1
gs-scheduling-tasks,com.example.schedulingtasks,ScheduledTasksTest,reportCurrentTime,6,1,0
gs-scheduling-tasks,com.example.schedulingtasks,SchedulingTasksApplicationTest,contextLoads,3,1,0
