Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
gs-spring-boot,com.example.springboot,Application,main,3,1,1
gs-spring-boot,com.example.springboot,Application,commandLineRunner,11,2,1
gs-spring-boot,com.example.springboot,HelloController,index,3,1,0
gs-spring-boot,com.example.springboot,HelloControllerITest,getHello,4,1,0
gs-spring-boot,com.example.springboot,HelloControllerTest,getHello,3,1,0
gs-spring-boot,com.example.springboot,Application,main,9,2,1
gs-spring-boot,com.example.springboot,HelloController,index,3,1,0
