Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,source_file,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT,Code Smell
gs-vault-config,hello,Application,Application,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-vault-config,hello,Application,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-vault-config,hello,Application,run,8.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-vault-config,hello,MyConfiguration,getUsername,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-vault-config,hello,MyConfiguration,setUsername,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-vault-config,hello,MyConfiguration,getPassword,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-vault-config,hello,MyConfiguration,setPassword,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-vault-config,hello,MyConfigurationTests,contextLoads,2.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-vault-config,hello,Application,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-vault-config,hello,Application,,17.0,,,typeMetrics.csv,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.6666666666666666,2.0,2.0,
gs-vault-config,hello,MyConfiguration,,19.0,,,typeMetrics.csv,2.0,0.0,4.0,4.0,4.0,0.0,0.0,0.5,1.0,0.0,
gs-vault-config,hello,MyConfigurationTests,,4.0,,,typeMetrics.csv,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,
gs-vault-config,hello,Application,,5.0,,,typeMetrics.csv,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,
gs-vault-config,hello,MyConfigurationTests,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-vault-config,hello,Application,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
