Project Name,Package Name,Type Name,Code Smell
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouter,Unutilized Abstraction
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouterTest,Unutilized Abstraction
