Project Name,Package Name,Type Name,Method Name,Code Smell
gs-reactive-rest-service,com.example.reactivewebservice,GreetingClient,getMessage,Long Statement
gs-reactive-rest-service,com.example.reactivewebservice,GreetingHandler,hello,Long Statement
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouterTest,testHello,Long Statement
