Project Name,Package Name,Type Name,Code Smell
gs-centralized-configuration,com.example.configurationclient,ConfigurationClientApplicationTest,Unutilized Abstraction
gs-centralized-configuration,com.example.configurationservice,ConfigurationServiceApplicationTest,Unutilized Abstraction
gs-centralized-configuration,com.example.centralizedconfigurationclient,CentralizedConfigurationClientApplicationTests,Unutilized Abstraction
gs-centralized-configuration,com.example.centralizedconfigurationservice,CentralizedConfigurationServiceApplicationTests,Unutilized Abstraction
